City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
424,Ust-Koksa,50.2696,85.6108,32.29,87,53,1.28,RU,2022-09-16 18:21:19,broken clouds
425,Tbilisskaya,45.3633,40.19,72.36,37,95,9.6,RU,2022-09-16 18:21:19,overcast clouds
426,Gambissara,13.2382,-14.3108,86.05,76,90,5.23,SN,2022-09-16 18:21:20,overcast clouds
427,Brodnica,53.2597,19.3965,56.25,52,58,16.08,PL,2022-09-16 18:21:20,broken clouds
428,Filadelfia,39.9523,-75.1638,79.11,48,40,1.99,US,2022-09-16 18:16:48,scattered clouds
429,Roald,62.5833,6.1333,53.76,87,75,17.27,NO,2022-09-16 18:21:20,broken clouds
430,Tahta,26.7693,31.5021,84.88,26,0,7.74,EG,2022-09-16 18:21:21,clear sky
431,Coquimbo,-29.9533,-71.3436,56.93,82,100,5.75,CL,2022-09-16 18:21:21,overcast clouds
432,Troitskoye,52.9821,84.6757,44.15,68,84,7.16,RU,2022-09-16 18:21:23,broken clouds
433,Nuuk,64.1835,-51.7216,52.41,82,75,6.91,GL,2022-09-16 18:18:15,broken clouds
434,Buraydah,26.326,43.975,93.65,15,1,11.43,SA,2022-09-16 18:17:05,clear sky
435,Viransehir,37.2353,39.7631,85.03,15,0,6.82,TR,2022-09-16 18:21:25,clear sky
436,Cajaruro,-5.7364,-78.4256,86.4,52,86,6.62,PE,2022-09-16 18:21:25,light rain
437,Marsaxlokk,35.8419,14.5431,81.09,78,0,8.05,MT,2022-09-16 18:21:26,clear sky
438,Tolstoy-Yurt,43.4444,45.7722,71.92,60,0,6.71,RU,2022-09-16 18:21:26,clear sky
439,Choma,-16.8065,26.9531,66.09,35,0,3.0,ZM,2022-09-16 18:19:11,clear sky
440,Ciudad Guayana,8.3533,-62.6528,94.51,58,74,3.51,VE,2022-09-16 18:21:27,broken clouds
441,Matagami,49.7502,-77.6328,53.71,58,40,2.3,CA,2022-09-16 18:21:27,scattered clouds
442,Dudinka,69.4058,86.1778,31.14,80,34,3.02,RU,2022-09-16 18:21:28,scattered clouds
443,Batticaloa,7.7102,81.6924,80.82,79,58,1.23,LK,2022-09-16 18:21:29,broken clouds
444,Lixourion,38.2019,20.4314,77.0,83,20,0.0,GR,2022-09-16 18:21:29,few clouds
445,Mogadishu,2.0371,45.3438,76.46,83,55,16.44,SO,2022-09-16 18:21:29,light rain
446,Sabalgarh,26.25,77.4,75.38,92,73,5.68,IN,2022-09-16 18:21:29,broken clouds
447,Ngama,11.7833,17.1667,77.52,82,92,0.45,TD,2022-09-16 18:21:30,moderate rain
448,Marysville,48.0518,-122.1771,63.97,72,100,9.22,US,2022-09-16 18:21:30,overcast clouds
449,Cruzilia,-21.8386,-44.8083,63.59,80,99,4.81,BR,2022-09-16 18:21:30,overcast clouds
450,Tessalit,20.1986,1.0114,100.33,12,90,11.79,ML,2022-09-16 18:17:20,overcast clouds
451,Qena,26.1615,32.7183,86.49,21,1,12.41,EG,2022-09-16 18:21:31,clear sky
452,Luena,-11.7833,19.9167,71.19,27,28,3.51,AO,2022-09-16 18:21:31,scattered clouds
453,Ushtobe,45.2514,77.9838,52.34,33,54,16.37,KZ,2022-09-16 18:21:31,broken clouds
454,Mount Pleasant,32.7941,-79.8626,86.0,53,0,12.66,US,2022-09-16 18:21:32,clear sky
455,Union,40.6334,-74.2663,78.67,37,0,8.05,US,2022-09-16 18:21:32,smoke
456,Bavleny,56.4,39.56,52.47,93,93,10.31,RU,2022-09-16 18:21:33,overcast clouds
457,Rawson,-43.3002,-65.1023,50.5,49,100,18.99,AR,2022-09-16 18:21:33,overcast clouds
458,Dovers,12.8833,-61.1833,85.59,73,94,10.38,VC,2022-09-16 18:21:33,overcast clouds
459,Cururupu,-1.8283,-44.8683,84.74,63,71,8.1,BR,2022-09-16 18:21:34,broken clouds
460,Kyshtovka,56.555,76.6271,52.41,61,100,3.74,RU,2022-09-16 18:21:34,overcast clouds
461,Hambantota,6.1241,81.1185,78.57,80,42,15.61,LK,2022-09-16 18:21:35,scattered clouds
462,Awjilah,29.1081,21.2869,85.91,24,0,7.14,LY,2022-09-16 18:21:35,clear sky
463,Okakarara,-20.5833,17.4333,71.46,14,1,8.34,NA,2022-09-16 18:21:36,clear sky
464,Krasnoselkup,65.7,82.4667,40.59,69,100,9.73,RU,2022-09-16 18:21:36,overcast clouds
465,Staryy Nadym,65.6118,72.6842,52.66,72,100,7.85,RU,2022-09-16 18:21:37,overcast clouds
466,Tombouctou,20.0,-3.0,104.88,11,5,8.95,ML,2022-09-16 18:21:38,clear sky
467,Coari,-4.085,-63.1414,97.16,35,97,1.32,BR,2022-09-16 18:21:38,overcast clouds
468,Porto Recanati,43.4365,13.6613,77.31,38,52,9.01,IT,2022-09-16 18:21:38,broken clouds
469,Sfantu Gheorghe,45.8667,25.7833,63.27,78,100,2.75,RO,2022-09-16 18:21:38,light rain
470,Warmbad,-28.45,18.7333,72.75,21,45,9.82,NA,2022-09-16 18:21:39,scattered clouds
471,Benghazi,32.1167,20.0667,79.57,56,0,10.63,LY,2022-09-16 18:21:39,clear sky
472,Beni Suef,29.0731,31.0979,82.04,26,0,6.89,EG,2022-09-16 18:21:39,clear sky
473,Olafsvik,64.8945,-23.7142,49.28,77,100,6.82,IS,2022-09-16 18:21:39,overcast clouds
474,Mitsamiouli,-11.3847,43.2844,73.69,83,20,5.75,KM,2022-09-16 18:21:40,few clouds
475,Puerto Suarez,-18.95,-57.8,90.16,42,75,11.5,BO,2022-09-16 18:21:40,broken clouds
476,Sao Felix Do Xingu,-6.6447,-51.995,101.79,21,95,2.13,BR,2022-09-16 18:21:40,overcast clouds
477,Manakara,-22.1333,48.0167,69.15,84,6,9.17,MG,2022-09-16 18:21:41,light rain
478,Naifaru,5.4444,73.3657,81.18,72,9,5.93,MV,2022-09-16 18:21:41,clear sky
479,Panaba,21.2833,-88.2667,91.17,54,57,5.5,MX,2022-09-16 18:21:42,broken clouds
480,Bet Shemesh,31.7496,34.9888,77.65,100,0,4.43,IL,2022-09-16 18:21:42,clear sky
481,Otukpo,7.1913,8.1329,73.99,94,98,5.19,NG,2022-09-16 18:21:43,light rain
482,Henties Bay,-22.116,14.2845,57.7,90,6,8.79,NA,2022-09-16 18:21:43,clear sky
483,Sur,22.5667,59.5289,89.46,52,15,8.93,OM,2022-09-16 18:19:31,few clouds
484,Haverhill,42.7762,-71.0773,72.99,47,0,12.66,US,2022-09-16 18:19:20,clear sky
485,San Bartolome De Tirajana,27.9248,-15.5733,70.27,73,20,20.71,ES,2022-09-16 18:21:44,few clouds
486,Aberfoyle,-30.2667,152.0167,44.64,60,100,4.45,AU,2022-09-16 18:21:45,overcast clouds
487,Little Current,45.9793,-81.9248,60.85,82,100,14.34,CA,2022-09-16 18:20:59,overcast clouds
488,Mustvee,58.8486,26.9397,49.06,93,98,8.84,EE,2022-09-16 18:21:46,overcast clouds
489,Arak,34.0917,49.6892,61.56,34,0,6.91,IR,2022-09-16 18:21:47,clear sky
490,Ancud,-41.8697,-73.8203,47.23,50,100,7.45,CL,2022-09-16 18:21:47,overcast clouds
491,Hellvik,59.9156,5.781,56.77,79,61,15.01,NO,2022-09-16 18:21:47,broken clouds
492,Moissala,8.3404,17.7663,73.44,91,100,1.79,TD,2022-09-16 18:21:48,light rain
493,Khlevnoye,52.1951,39.0932,60.82,92,97,7.96,RU,2022-09-16 18:21:48,overcast clouds
494,Mizdah,31.4451,12.9801,84.22,16,0,4.68,LY,2022-09-16 18:21:48,clear sky
495,Savasleyka,55.4606,42.3207,56.14,75,100,6.46,RU,2022-09-16 18:21:49,moderate rain
496,Sembe,1.6481,14.5806,71.62,97,94,4.5,CG,2022-09-16 18:21:49,moderate rain
497,Saquarema,-22.92,-42.5103,62.74,91,100,8.46,BR,2022-09-16 18:20:37,light rain
498,Libreville,0.3925,9.4537,76.5,83,100,8.95,GA,2022-09-16 18:21:49,overcast clouds
499,Comodoro Rivadavia,-45.8667,-67.5,48.06,49,0,8.05,AR,2022-09-16 18:18:44,clear sky
500,Paso De Los Toros,-32.8167,-56.5167,69.55,59,1,17.05,UY,2022-09-16 18:18:43,clear sky
501,Lafiagi,8.8667,5.4167,78.01,87,95,4.18,NG,2022-09-16 18:21:50,overcast clouds
502,Goderich,43.7501,-81.7165,71.92,73,100,4.61,CA,2022-09-16 18:21:50,overcast clouds
503,Boyabat,41.4689,34.7667,74.77,45,37,1.07,TR,2022-09-16 18:21:50,scattered clouds
504,Bhag,29.0415,67.8239,93.34,29,0,8.1,PK,2022-09-16 18:21:51,clear sky
505,Levokumskoye,44.8219,44.6606,73.31,40,72,8.48,RU,2022-09-16 18:21:51,broken clouds
506,Torquay,50.4638,-3.5143,60.28,64,16,8.01,GB,2022-09-16 18:21:52,few clouds
507,Vallenar,-28.5708,-70.7581,72.45,34,100,7.76,CL,2022-09-16 18:18:11,overcast clouds
508,Aracati,-4.5617,-37.7697,86.54,52,7,16.22,BR,2022-09-16 18:21:53,clear sky
509,Plettenberg Bay,-34.0527,23.3716,60.17,79,80,8.46,ZA,2022-09-16 18:21:52,broken clouds
510,Ilo,-17.6394,-71.3375,63.46,72,0,10.36,PE,2022-09-16 18:21:53,clear sky
511,Mumford,5.2618,-0.759,76.37,88,42,9.13,GH,2022-09-16 18:21:54,scattered clouds
512,Tibati,6.4667,12.6333,67.93,94,97,2.57,CM,2022-09-16 18:21:54,moderate rain
513,Muli,2.9167,73.5667,81.18,67,5,4.5,MV,2022-09-16 18:21:55,clear sky
514,Lima,-12.0432,-77.0282,61.05,72,100,9.22,PE,2022-09-16 18:20:12,overcast clouds
515,Lisakovsk,52.5369,62.4936,53.96,35,9,12.53,KZ,2022-09-16 18:21:55,clear sky
516,Soyo,-6.1349,12.3689,74.07,84,66,8.5,AO,2022-09-16 18:21:56,broken clouds
517,Comrat,46.3003,28.6572,71.78,56,99,3.74,MD,2022-09-16 18:21:56,overcast clouds
518,Tromso,69.6496,18.957,48.22,81,75,14.97,NO,2022-09-16 18:21:56,broken clouds
519,Muravlenko,63.7898,74.523,49.17,72,93,9.42,RU,2022-09-16 18:21:57,overcast clouds
520,Oulainen,64.2667,24.8,49.8,98,74,7.49,FI,2022-09-16 18:21:57,broken clouds
521,Mayuge,0.4597,33.4803,68.65,73,74,4.25,UG,2022-09-16 18:21:57,broken clouds
522,Gemena,3.25,19.7667,75.31,78,77,1.5,CD,2022-09-16 18:21:58,light rain
523,Faya,18.3851,42.4509,69.91,40,66,3.58,SA,2022-09-16 18:21:58,broken clouds
524,Nurota,40.5614,65.6886,70.59,18,78,5.28,UZ,2022-09-16 18:21:58,broken clouds
525,Ajdabiya,30.7554,20.2263,78.51,56,0,7.72,LY,2022-09-16 18:21:59,clear sky
526,Curaca,-8.9903,-39.9094,94.41,14,0,11.45,BR,2022-09-16 18:21:59,clear sky
527,Rocha,-34.4833,-54.3333,69.08,52,1,13.44,UY,2022-09-16 18:21:59,clear sky
528,Praia Da Vitoria,38.7333,-27.0667,79.05,73,20,10.36,PT,2022-09-16 18:22:00,few clouds
529,Jena,50.9333,11.5833,55.15,65,75,12.59,DE,2022-09-16 18:20:11,broken clouds
530,Ibra,22.6906,58.5334,87.82,39,51,6.13,OM,2022-09-16 18:22:01,broken clouds
531,Turukhansk,65.8167,87.9833,32.23,74,58,4.03,RU,2022-09-16 18:21:19,broken clouds
532,Korla,41.7597,86.1469,71.08,20,31,9.15,CN,2022-09-16 18:22:01,scattered clouds
533,Raga,8.4596,25.678,69.84,97,99,3.91,SS,2022-09-16 18:17:32,overcast clouds
534,Terenos,-20.4422,-54.8603,82.11,39,40,9.22,BR,2022-09-16 18:22:02,scattered clouds
535,Bugulma,54.55,52.8,52.23,72,82,4.27,RU,2022-09-16 18:22:03,broken clouds
536,Sennoy,52.1509,46.9631,57.09,94,99,4.7,RU,2022-09-16 18:22:03,overcast clouds
537,Adrar,20.5022,-10.0711,96.48,16,2,14.7,MR,2022-09-16 18:22:04,clear sky
